account_id,account_name,event_date,annual_recurring_revenue,logins_last_7d,logins_last_30d,logins_last_90d,open_tickets,resolved_tickets_last_30d,escalated_tickets_last_90d,nps_score,nps_trend,feature_adoption_rate,active_users_last_30d,active_users_last_90d,contract_end_date,customer_segment
ACC-001,Mega Corp AG,2026-02-22,480000,2,12,95,7,8,6,-45,-15,0.28,12,38,2026-04-15,HIGH_VALUE
ACC-002,Innovate GmbH,2026-02-22,125000,18,72,210,1,12,0,62,8,0.78,24,72,2026-11-30,MID_MARKET
ACC-003,TechStart Solutions,2026-02-22,38000,1,4,52,5,3,4,-20,-30,0.35,3,18,2026-03-31,SMB
ACC-004,Global Industries SE,2026-02-22,920000,8,45,180,12,15,10,15,-25,0.42,55,185,2026-05-01,HIGH_VALUE
ACC-005,DataDriven UG,2026-02-22,22000,25,98,285,0,5,0,72,5,0.91,8,24,2026-12-31,SMB
ACC-006,Enterprise Systems AG,2026-02-22,650000,3,8,72,18,5,14,-60,-20,0.22,8,45,2026-03-15,HIGH_VALUE
ACC-007,Mittelstand Plus GmbH,2026-02-22,88000,12,48,138,2,8,1,38,2,0.65,18,55,2026-09-30,MID_MARKET
ACC-008,SaaS Pioneer Ltd,2026-02-22,195000,5,18,85,8,6,7,10,-18,0.38,22,72,2026-06-30,MID_MARKET
ACC-009,Quick Commerce AG,2026-02-22,42000,0,2,38,4,2,3,-35,-10,0.30,2,12,2026-04-30,SMB
ACC-010,BioTech Innovations,2026-02-22,310000,22,88,252,1,18,0,55,12,0.82,42,128,2026-08-15,MID_MARKET
ACC-011,Legacy Systems Corp,2026-02-22,780000,4,15,95,15,10,12,-25,-8,0.33,18,62,2026-07-31,HIGH_VALUE
ACC-012,Startup Rocket UG,2026-02-22,15000,30,118,345,0,2,0,85,15,0.95,5,15,2026-12-31,SMB
ACC-013,Consulting First GmbH,2026-02-22,145000,8,32,98,5,12,2,28,-5,0.58,28,85,2026-10-31,MID_MARKET
ACC-014,Manufacturing Pro AG,2026-02-22,520000,1,5,68,22,8,18,-70,-35,0.18,6,35,2026-03-20,HIGH_VALUE
ACC-015,Digital Agency GmbH,2026-02-22,68000,15,62,182,1,10,1,45,0,0.72,12,38,2026-11-15,SMB
ACC-016,Finance Hub SE,2026-02-22,420000,6,28,112,8,10,5,5,-12,0.45,35,108,2026-06-15,HIGH_VALUE
ACC-017,E-Commerce Star GmbH,2026-02-22,112000,20,80,235,0,15,0,68,10,0.88,22,68,2026-09-30,MID_MARKET
ACC-018,Logistics Net AG,2026-02-22,285000,3,10,55,14,5,9,-15,-22,0.32,15,52,2026-05-15,MID_MARKET
ACC-019,Health Tech UG,2026-02-22,55000,28,112,325,0,8,0,78,18,0.92,18,55,2026-12-31,SMB
ACC-020,Retail Chain SE,2026-02-22,845000,2,6,45,25,12,20,-80,-40,0.15,10,42,2026-03-25,HIGH_VALUE
ACC-021,Cloud Native GmbH,2026-02-22,175000,18,72,215,1,14,0,58,6,0.80,32,98,2026-10-31,MID_MARKET
ACC-022,Smart Factory AG,2026-02-22,395000,5,20,88,10,8,7,22,-15,0.48,28,88,2026-07-15,HIGH_VALUE
ACC-023,Media House GmbH,2026-02-22,92000,12,50,148,2,10,1,42,3,0.68,15,48,2026-08-31,MID_MARKET
ACC-024,InsurTech Start UG,2026-02-22,28000,0,1,25,6,1,5,-55,-25,0.25,1,8,2026-04-10,SMB
ACC-025,PropTech Solutions,2026-02-22,138000,22,88,262,0,18,0,65,8,0.85,28,85,2026-11-30,MID_MARKET
